Z:\bh-microscopy\Hamamatsu-S210-000231\sac-in-vivo_service; JAX\ratame; 06/13/2022 11:03:04; JAX\microscopy:ReadAndExecute, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\oh_lab; JAX\clmahaff; 02/01/2023 14:13:11; JAX\ohlab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\anczukow_lab; JAX\ratame; 06/13/2022 10:52:41; JAX\anczukow-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\handel_lab; JAX\ratame; 06/13/2022 10:55:08; JAX\microscopy:ReadAndExecute, Synchronize. JAX\handel-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\ren_lab; JAX\ratame; 06/13/2022 10:59:29; JAX\microscopy:ReadAndExecute, Synchronize. JAX\ren-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\cox_lab; JAX\ratame; 06/13/2022 10:55:05; JAX\microscopy:ReadAndExecute, Synchronize. JAX\cox-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\palucka_lab; JAX\ratame; 06/13/2022 10:59:03; JAX\microscopy:ReadAndExecute, Synchronize. JAX\palucka-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\dumont_lab; JAX\ratame; 06/13/2022 11:01:19; JAX\microscopy:ReadAndExecute, Synchronize. JAX\dumont-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\verhaak_lab; JAX\ratame; 06/13/2022 11:00:38; JAX\microscopy:ReadAndExecute, Synchronize. JAX\verhaak-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\churchill_lab; JAX\ratame; 06/13/2022 10:55:05; JAX\microscopy:ReadAndExecute, Synchronize. JAX\jaxchurchill:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
